#TYPE Selected.System.String
"Alpha","NumberOfDetectors","Fi","Filtering","Value"
,,,"False",""
"0.5","180","135","False","4446.194226308257"
"0.5","180","135","True","213.07390556776215"
"0.5","180","180","False","3538.119124639215"
"0.5","180","180","True","149.15104715922917"
"0.5","180","225","False","2830.120761491689"
"0.5","180","225","True","117.00650074919656"
"0.5","180","270","False","2358.8069621245886"
"0.5","180","270","True","97.32508313910394"
"0.5","180","45","False","5441.962973390796"
"0.5","180","45","True","287.92182515730843"
"0.5","180","90","False","4958.678094307712"
"0.5","180","90","True","257.8757924980044"
"0.5","270","135","False","6679.350685330951"
"0.5","270","135","True","322.41799631965773"
"0.5","270","180","False","5323.759977971482"
"0.5","270","180","True","235.70024767719258"
"0.5","270","225","False","4257.394596229867"
"0.5","270","225","True","183.65196720304803"
"0.5","270","270","False","3544.992764191486"
"0.5","270","270","True","149.17700431874417"
"0.5","270","45","False","8175.778382177938"
"0.5","270","45","True","423.0019760192551"
"0.5","270","90","False","7451.4110418556775"
"0.5","270","90","True","380.4236865808892"
"0.5","360","135","False","8920.076094649748"
"0.5","360","135","True","433.77173177966966"
"0.5","360","180","False","7107.261175320513"
"0.5","360","180","True","324.18617863335015"
"0.5","360","225","False","5684.9524304436045"
"0.5","360","225","True","253.5465961579908"
"0.5","360","270","False","4736.529911250888"
"0.5","360","270","True","206.91508697240474"
"0.5","360","45","False","10911.361496610718"
"0.5","360","45","True","559.4881807428278"
"0.5","360","90","False","9940.520944407042"
"0.5","360","90","True","504.2570265133507"
"0.5","450","135","False","11155.991003258483"
"0.5","450","135","True","545.5700961854345"
"0.5","450","180","False","8898.22379730389"
"0.5","450","180","True","413.7070805535509"
"0.5","450","225","False","7110.955617005552"
"0.5","450","225","True","324.33919007187677"
"0.5","450","270","False","5925.2290578952925"
"0.5","450","270","True","265.4015547173134"
"0.5","450","45","False","13646.812880595879"
"0.5","450","45","True","696.5061822348698"
"0.5","450","90","False","12433.747188306525"
"0.5","450","90","True","628.9499379836103"
"0.5","540","135","False","13392.454094533474"
"0.5","540","135","True","657.6871865872672"
"0.5","540","180","False","10684.641751867533"
"0.5","540","180","True","503.2816537838983"
"0.5","540","225","False","8543.741092088674"
"0.5","540","225","True","395.9697808115682"
"0.5","540","270","False","7113.212854268286"
"0.5","540","270","True","324.41226986508093"
"0.5","540","45","False","16382.614128500392"
"0.5","540","45","True","833.8176197730955"
"0.5","540","90","False","14925.134959712439"
"0.5","540","90","True","753.8607756431355"
"0.5","90","135","False","2212.398956095784"
"0.5","90","135","True","111.91615439694"
"0.5","90","180","False","1757.7377287658924"
"0.5","90","180","True","75.99179032095039"
"0.5","90","225","False","1406.141417912108"
"0.5","90","225","True","70.60300125213634"
"0.5","90","270","False","1172.17075363682"
"0.5","90","270","True","66.44274803371894"
"0.5","90","45","False","2710.6168886682517"
"0.5","90","45","True","157.63366795993386"
"0.5","90","90","False","2473.025017233146"
"0.5","90","90","True","141.0774886343019"
"0.57","180","135","False","3887.0267905453793"
"0.57","180","135","True","182.79207894100492"
"0.57","180","180","False","3093.966449123954"
"0.57","180","180","True","127.12880567645648"
"0.57","180","225","False","2473.079216905537"
"0.57","180","225","True","99.20041605058174"
"0.57","180","270","False","2060.4319873701793"
"0.57","180","270","True","82.69987922650712"
"0.57","180","45","False","4759.384335288494"
"0.57","180","45","True","249.29921437819647"
"0.57","180","90","False","4337.580280329212"
"0.57","180","90","True","222.39604905386796"
"0.57","270","135","False","5843.1057857615415"
"0.57","270","135","True","278.09579053439535"
"0.57","270","180","False","4655.070060478957"
"0.57","270","180","True","202.17403699985078"
"0.57","270","225","False","3722.373799591558"
"0.57","270","225","True","156.8843199485144"
"0.57","270","270","False","3099.6191140663714"
"0.57","270","270","True","127.42521027070639"
"0.57","270","45","False","7150.936572014842"
"0.57","270","45","True","367.11362784791396"
"0.57","270","90","False","6516.158045822564"
"0.57","270","90","True","329.143875125489"
"0.57","360","135","False","7800.978873845876"
"0.57","360","135","True","375.3020833723413"
"0.57","360","180","False","6217.796079708472"
"0.57","360","180","True","279.49544008504915"
"0.57","360","225","False","4970.662007635304"
"0.57","360","225","True","217.68278474584477"
"0.57","360","270","False","4140.981528517187"
"0.57","360","270","True","177.10268636863654"
"0.57","360","45","False","9544.816925589808"
"0.57","360","45","True","486.3710820059593"
"0.57","360","90","False","8695.439488633298"
"0.57","360","90","True","437.3995760113787"
"0.57","450","135","False","9757.852538451334"
"0.57","450","135","True","473.01521381412164"
"0.57","450","180","False","7782.9984313016985"
"0.57","450","180","True","357.65534371897155"
"0.57","450","225","False","6221.360373180009"
"0.57","450","225","True","279.680585449591"
"0.57","450","270","False","5180.8278306549355"
"0.57","450","270","True","228.03373222509163"
"0.57","450","45","False","11938.487289189547"
"0.57","450","45","True","606.162388321968"
"0.57","450","90","False","10875.90283840837"
"0.57","450","90","True","546.3471325191507"
"0.57","540","135","False","11716.061569029007"
"0.57","540","135","True","571.1185063225372"
"0.57","540","180","False","9344.712344244239"
"0.57","540","180","True","435.8643858070852"
"0.57","540","225","False","7473.823412396137"
"0.57","540","225","True","342.19675424202813"
"0.57","540","270","False","6223.548448995708"
"0.57","540","270","True","279.7946251269578"
"0.57","540","45","False","14331.730685272682"
"0.57","540","45","True","726.2060862130677"
"0.57","540","90","False","13056.096624012749"
"0.57","540","90","True","655.5908929725638"
"0.57","90","135","False","1933.544473248252"
"0.57","90","135","True","95.50108478191643"
"0.57","90","180","False","1535.3397888174438"
"0.57","90","180","True","66.09054002306542"
"0.57","90","225","False","1228.2767742237388"
"0.57","90","225","True","60.88836319713778"
"0.57","90","270","False","1023.2022630118431"
"0.57","90","270","True","59.86850682406882"
"0.57","90","45","False","2370.379216859972"
"0.57","90","45","True","136.3913327772511"
"0.57","90","90","False","2161.2661135803805"
"0.57","90","90","True","121.15604080351152"
"0.67","180","135","False","3327.812798423307"
"0.67","180","135","True","152.96745771165317"
"0.67","180","180","False","2648.9353140868743"
"0.67","180","180","True","105.3808636353436"
"0.67","180","225","False","2116.694410812149"
"0.67","180","225","True","82.22221445097742"
"0.67","180","270","False","1763.2123523039224"
"0.67","180","270","True","68.98176519900736"
"0.67","180","45","False","4076.8391092818856"
"0.67","180","45","True","211.6816822300006"
"0.67","180","90","False","3716.538547738308"
"0.67","180","90","True","187.74446022912747"
"0.67","270","135","False","5006.391862860282"
"0.67","270","135","True","234.15333145261116"
"0.67","270","180","False","3984.1681600631523"
"0.67","270","180","True","168.93539001123847"
"0.67","270","225","False","3186.875899517422"
"0.67","270","225","True","130.5132429460475"
"0.67","270","270","False","2654.2782295133284"
"0.67","270","270","True","105.78430667074255"
"0.67","270","45","False","6125.778181833511"
"0.67","270","45","True","311.8670146280584"
"0.67","270","90","False","5580.616590776495"
"0.67","270","90","True","278.3278085281408"
"0.67","360","135","False","6681.67785081761"
"0.67","360","135","True","316.9680152644689"
"0.67","360","180","False","5327.7985010780785"
"0.67","360","180","True","235.02612668362184"
"0.67","360","225","False","4256.644151776482"
"0.67","360","225","True","182.19043092742098"
"0.67","360","270","False","3545.2070801927625"
"0.67","360","270","True","147.58851100652754"
"0.67","360","45","False","8177.599979321426"
"0.67","360","45","True","413.71813935493725"
"0.67","360","90","False","7449.755028852478"
"0.67","360","90","True","370.8731515812452"
"0.67","450","135","False","8359.109800688699"
"0.67","450","135","True","400.5728115968344"
"0.67","450","180","False","6665.748434397601"
"0.67","450","180","True","301.6200996380603"
"0.67","450","225","False","5330.744303925541"
"0.67","450","225","True","235.18008989329311"
"0.67","450","270","False","4437.411855489067"
"0.67","450","270","True","191.02857257084327"
"0.67","450","45","False","10229.302222626135"
"0.67","450","45","True","516.1761714132699"
"0.67","450","90","False","9317.537917751155"
"0.67","450","90","True","463.9818180399226"
"0.67","540","135","False","10037.98050644633"
"0.67","540","135","True","484.5777932493766"
"0.67","540","180","False","8004.17183015733"
"0.67","540","180","True","368.5315869774341"
"0.67","540","225","False","6400.891808652205"
"0.67","540","225","True","288.4377309020249"
"0.67","540","270","False","5332.7883149919135"
"0.67","540","270","True","235.28144373532513"
"0.67","540","45","False","12280.553507171788"
"0.67","540","45","True","618.9241359954806"
"0.67","540","90","False","11186.616560011129"
"0.67","540","90","True","557.5131438494011"
"0.67","90","135","False","1654.4135055766"
"0.67","90","135","True","80.6038847566349"
"0.67","90","180","False","1312.5976859113325"
"0.67","90","180","True","55.44095384253943"
"0.67","90","225","False","1049.6702412040067"
"0.67","90","225","True","53.549848913055044"
"0.67","90","270","False","874.1225842689463"
"0.67","90","270","True","53.315510061536145"
"0.67","90","45","False","2031.2560008356866"
"0.67","90","45","True","117.05218284716328"
"0.67","90","90","False","1850.1864097068826"
"0.67","90","90","True","102.92487389375272"
"0.8","180","135","False","2769.0216060524017"
"0.8","180","135","True","123.97111885059351"
"0.8","180","180","False","2203.1521560808756"
"0.8","180","180","True","84.73062155770444"
"0.8","180","225","False","1760.5293204094046"
"0.8","180","225","True","66.60200519461468"
"0.8","180","270","False","1465.2658966856595"
"0.8","180","270","True","56.69053020059664"
